75
1 2 3
1 3 9
1 4 6
1 5 12
1 6 6
1 7 3
1 8 6
1 9 6
1 10 3
1 11 6
1 12 6
1 13 9
1 14 6
1 15 6
1 17 3
1 18 12
1 26 27
1 48 9
2 1 3
2 3 6
2 4 6
2 5 12
2 6 6
2 7 3
2 8 3
2 9 6
2 10 3
2 11 6
2 12 6
2 13 6
2 14 6
2 15 6
2 19 9
2 23 6
2 24 9
2 49 3
3 1 9
3 2 6
3 4 12
3 5 21
3 6 9
3 7 6
3 8 9
3 9 12
3 10 6
3 11 12
3 12 12
3 13 15
3 14 12
3 15 12
3 20 6
3 21 15
3 22 24
3 25 24
3 60 15
3 69 12
3 73 3
3 74 21
4 1 6
4 2 6
4 3 12
4 5 18
4 6 9
4 7 6
4 8 6
4 9 9
4 10 6
4 11 6
4 12 6
4 13 9
4 14 6
4 15 9
4 40 24
4 41 15
4 70 15
4 71 3
4 72 12
5 1 12
5 2 9
5 3 21
5 4 18
5 6 12
5 7 9
5 8 15
5 9 15
5 10 9
5 11 12
5 12 9
5 13 15
5 14 12
5 15 15
5 16 24
5 28 15
5 29 15
5 30 24
5 31 21
5 32 21
5 37 21
5 45 12
5 63 9
6 1 6
6 2 6
6 3 9
6 4 9
6 5 12
6 7 6
6 8 9
6 9 9
6 10 3
6 11 6
6 12 6
6 13 6
6 14 6
6 15 6
6 35 15
6 43 15
6 75 27
7 1 3
7 2 3
7 3 6
7 4 6
7 5 9
7 6 6
7 8 3
7 9 6
7 10 3
7 11 6
7 12 6
7 13 6
7 14 6
7 15 6
7 33 12
8 1 6
8 2 3
8 3 9
8 4 6
8 5 15
8 6 9
8 7 3
8 9 6
8 10 3
8 11 6
8 12 9
8 13 6
8 14 6
8 15 6
8 42 3
8 51 18
8 54 9
8 55 15
8 57 6
9 1 6
9 2 6
9 3 12
9 4 9
9 5 15
9 6 9
9 7 6
9 8 6
9 10 6
9 11 6
9 12 6
9 13 9
9 14 6
9 15 9
9 44 24
9 46 18
9 58 9
9 64 18
10 1 3
10 2 3
10 3 6
10 4 6
10 5 9
10 6 3
10 7 3
10 8 3
10 9 6
10 11 6
10 12 3
10 13 3
10 14 3
10 15 6
11 1 6
11 2 6
11 3 12
11 4 6
11 5 12
11 6 6
11 7 6
11 8 6
11 9 6
11 10 6
11 12 6
11 13 6
11 14 3
11 15 9
11 50 15
11 52 3
11 53 24
12 1 6
12 2 6
12 3 12
12 4 6
12 5 9
12 6 6
12 7 6
12 8 9
12 9 6
12 10 3
12 11 6
12 13 6
12 14 6
12 15 6
12 27 12
12 38 24
12 39 12
13 1 9
13 2 6
13 3 15
13 4 9
13 5 15
13 6 6
13 7 6
13 8 6
13 9 9
13 10 3
13 11 6
13 12 6
13 14 6
13 15 12
13 34 21
13 36 15
13 56 24
13 65 12
14 1 6
14 2 6
14 3 12
14 4 6
14 5 12
14 6 6
14 7 6
14 8 6
14 9 6
14 10 3
14 11 3
14 12 6
14 13 6
14 15 9
14 47 6
14 61 9
14 62 24
15 1 6
15 2 6
15 3 12
15 4 9
15 5 15
15 6 6
15 7 6
15 8 6
15 9 9
15 10 6
15 11 9
15 12 6
15 13 12
15 14 9
15 59 15
15 66 21
15 67 18
15 68 21
16 5 24
17 1 3
18 1 12
19 2 9
20 3 6
21 3 15
22 3 24
23 2 6
24 2 9
25 3 24
26 1 27
27 12 12
28 5 15
29 5 15
30 5 24
31 5 21
32 5 21
33 7 12
34 13 21
35 6 15
36 13 15
37 5 21
38 12 24
39 12 12
40 4 24
41 4 15
42 8 3
43 6 15
44 9 24
45 5 12
46 9 18
47 14 6
48 1 9
49 2 3
50 11 15
51 8 18
52 11 3
53 11 24
54 8 9
55 8 15
56 13 24
57 8 6
58 9 9
59 15 15
60 3 15
61 14 9
62 14 24
63 5 9
64 9 18
65 13 12
66 15 21
67 15 18
68 15 21
69 3 12
70 4 15
71 4 3
72 4 12
73 3 3
74 3 21
75 6 27
